"","Drone_1","Drone_2","Drone_3","Drone_4","Drone_5","Drone_6","Queen_1","Queen_2","Queen_3","Queen_4","queen_5","Queen_6","Worker_1","Worker_2","Worker_3","Worker_4","Worker_5","Worker_6"
"LOC100578623",0,0,0,0,0,0.329,0,0,0,0,0,0,0.317,0.315,0,0,0,0
"LOC113218980",132.143,126.806,104.869,111.945,122.317,115.289,110.537,115.635,102.54,142.663,112.226,81.509,118.633,102.288,88.533,106.916,92.924,64.625
"LOC551991",2.947,2.723,1.1,2.728,3.753,1.534,16.942,21.968,11.809,8.083,11.12,11.977,1.72,3.991,1.531,2.954,3.284,1.824
"LOC409260",226.026,243.69,231.645,216.597,176.13,130.7,153.163,289.801,188.684,166.846,220.453,230.803,191.089,170.981,154.385,159.385,150.763,106.156
"LOC551073",44.04,46.678,44.379,46.904,49.794,42.657,34.396,42.943,41.152,42.862,38.691,40.373,46.333,43.985,44.783,41.921,44.151,38.694
"LOC410918",152.42,141.485,183.477,162.78,152.306,155.48,78.165,130.393,101.118,126.857,95.729,110.588,116.794,148.089,93.139,106.528,102.479,53.63
"LOC551188",25.325,25.302,19.717,19.704,17.427,15.19,8.763,12.036,12.135,15.872,13.801,15.625,9.574,18.677,10.192,9.11,9.184,9.171
"LOC100578910",0.54,0.553,0.649,0.229,0.48,0.457,0.31,0.502,0.497,0.566,0.511,0.362,0.503,0.312,1.084,0.06,0.553,0.233
"LOC107966089",0,0,0,0,0,0,0,0.212,0,0,0,0,0,0,0,0,0,0
"LOC552484",63.504,57.989,63.257,60.881,67.253,78.586,93.763,63.125,80.615,62.962,74.498,63.613,69.831,58.888,81.324,73.807,78.459,92.971
"LOC727272",7.598,8.646,6.589,9.74,9.433,8.41,11.787,9.717,12.827,8.227,9.957,8.218,12.384,9.045,17.564,10.972,11.058,11.842
"LOC107964762",39.717,54.259,63.139,53.043,46.435,69.38,32.426,30.657,31.62,44.172,26.711,42.674,35.287,61.803,26.585,27.822,25.885,17.181
"LOC100578862",1.07,0.819,1.729,1.128,0.981,1.244,0.827,1.553,1.086,0.839,1.176,1.285,0.917,1.031,1.108,0.643,1.209,0.666
"LOC113218527",1.205,0.783,0.331,0.439,0.748,0.667,0.316,0.72,0.493,0.482,0.733,0.646,0.721,0.398,0.23,0.837,0.392,0.074
"LOC107964775",3.32,0.378,0,6.523,0.328,0.201,4.578,0.579,0.679,3.097,1.375,0.222,4.252,2.305,0.371,4.218,1.512,0.538
"LOC100578875",7.175,7.738,6.833,5.8,6.33,7.557,7.493,7.97,8.041,7.734,9.499,6.946,8.759,9.869,8.77,8.743,9.516,9.271
"LOC410756",5.562,6.243,4.137,4.665,4.817,3.534,3.365,4.455,2.851,4.291,4.569,2.243,3.454,3.279,2.281,3.078,2.836,1.315
"LOC409219",78.44,75.199,82.216,83.664,77.805,77.522,102.421,86.554,87.963,85.914,90.305,94.496,68.288,74.379,71.495,72.152,73.19,90.434
"LOC413933",16.552,16.116,21.002,18.848,15.076,15.809,29.166,16.572,21.641,16.407,18.939,21.935,17.772,15.858,20.73,19.811,19.05,21.059
"LOC551283",132.89,138.419,145.014,146.686,135.791,141.479,171.253,135.971,130.356,140.164,129.255,139.335,116.852,115.852,115.933,125.223,132.092,143.461
"LOC102654608",4.243,2.833,4.352,4.687,5.476,2.466,2.471,4.341,2.779,3.959,2.545,3.033,3.425,1.571,4.167,4.125,3.864,3.667
"LOC408766",54.145,60.183,51.502,49.154,51.377,51.398,46.844,51.231,52.825,58.786,49.064,44.886,61.386,57.524,49.043,53.284,56.954,42.909
"LOC412670",198.588,231.529,205.285,204.337,241.713,202.879,279.716,260.137,259.396,239.178,249.443,225.928,193.813,213.437,175.818,213.091,200.907,219.268
"LOC102654682",28.615,26.052,28.36,18.11,29.532,24.888,68.589,39.518,57.605,49.989,79.634,35.688,45.282,36.094,66.217,40.003,54.244,61.824
"LOC100577753",30.855,32.011,30.822,36.377,41.956,41.47,54.866,51.616,53.355,31.911,44.055,30.26,52.688,39.422,71.433,56.13,59.681,59.739
"LOC551894",26.925,25.278,24.899,26.552,21.581,20.013,32.293,29.429,31.714,33.434,39.316,37.728,23.515,32.165,28.133,24.655,25.107,32.756
"LOC100578236",7.048,4.886,7.301,7.418,6.312,9.103,3.183,4.532,4.049,5.561,3.536,3.049,10.527,7.099,5.277,7.039,7.68,3.719
"LOC412975",16.552,17.138,17.946,17.923,16.476,15.325,17.977,16.679,13.416,16.502,13.753,17.398,15.794,16.302,15.937,14.702,14.556,15.286
"LOC551869",9.679,7.295,11.095,8.06,8.331,10.772,5.746,4.442,5.536,3.618,3.217,5.532,5.075,5.193,4.578,4.986,4.728,2.825
"LOC551303",3.701,3.819,3.796,3.197,3.558,4.063,2.949,1.779,1.969,3.395,2.395,3.505,2.7,2.799,3.194,2.944,3.314,2.932
"LOC100579005",1.789,1.387,1.211,2.252,1.361,1.476,1.157,1.664,1.302,2.102,1.192,1.065,1.234,1.043,1.301,1.581,1.026,1.947
"LOC414002",7.53,8.929,8.001,9.557,8.63,8.374,9.871,8.906,6.925,7.849,5.898,6.827,9.004,7.876,7.885,8.545,5.756,6.186
"LOC409584",38.593,42.639,37.227,39.791,40.752,34.051,51.178,43.397,52.46,44.081,53.332,49.448,39.425,42.816,50.971,44.434,50.693,55.691
"LOC412174",5.796,5.277,5.281,4.989,6.267,4.506,7.432,5.462,6.368,3.7,4.55,3.843,8.169,6.144,8.307,8.224,7.362,7.052
"LOC113219036",0,0.185,0,0,0.16,0,0,0.189,0,0,0,0,0,0.188,0,0.18,0,0
"EF1a-F2",8353.655,9096.588,8493.44,8848.87,8167.089,7802.819,7518.371,7739.788,6821.809,7610.232,6455.139,8380.745,7041.876,7863.098,6370.627,6855.135,6093.764,6909.814
"AGLU2",6.065,10.895,4.572,7.103,9.326,6.43,6.48,8.539,6.24,6.806,9.547,8.084,11.985,6.678,14.343,10.432,12.913,14.45
